id,Name,Artists,started,Address,Notes,Commisioned,District,images,location
m0146,,THE WEIRD,7/22/2015,"1356 Gratiot, Detroit, MI",,,,https://www.dropbox.com/s/pkh5w2wng696at7/m0146.jpg?dl=0,
m0147,,ANTHONY GROSS,9/18/2016,"1942 Alfred Street, Detroit, MI",,,,https://www.dropbox.com/s/d6s3cx3wqymblhp/m0147.jpg?dl=0,
m0148,,JOSEPH KONERT,9/22/2016,"2615 Russell St, Detroit, MI",alley to the right of the entrance,,,https://www.dropbox.com/s/03p5fwcil95gzyv/m0148.jpg?dl=0,
m0149,,CEY ADAMS,9/1/2016,"1550 E Fisher Service Dr, Detroit, MI",,,,https://www.dropbox.com/s/ggljdqrfefnalza/m0149.jpg?dl=0,
m0150,,RONE,9/1/2015,"1548 Gratiot Avenue, Detroit, MI",,,,https://www.dropbox.com/s/ejx9en86b3wlo5e/m0150.jpg?dl=0,
m0151,,SINTEX,8/22/2016,"2000 Division St, Detroit, MI",,,,https://www.dropbox.com/s/pehgn3hh2fiw08t/m0151.jpg?dl=0,
m0152,,SLICK,9/22/2016,"1528 Gratiot Ave, Detroit, MI 48207",,,,https://www.dropbox.com/s/c8l3skajaslh6me/m0152.jpg?dl=0,
m0153,,HUEMAN,9/1/2016,"2100 Rivard Street, Detroit, MI",in alley,,,https://www.dropbox.com/s/q2zzv8voocqjdoy/m0153.jpg?dl=0,
m0154,,APEXER,9/22/2016,"1544 Gratiot Ave, Detroit, MI",,,,https://www.dropbox.com/s/rnzb7e8q66hgn61/m0154.jpg?dl=0,
m0155,,"GHOST BEARD ] , [ PATCH WHISKY",9/1/2016,"1545 Gratiot Ave, Detroit, MI",,,,https://www.dropbox.com/s/b5viwe8lsq63smm/M0155.jpg?dl=0,
m0156,,SHARKTOOF,9/1/2015,"1906 Division Street, Detroit, MI",,,,https://www.dropbox.com/s/gwh0rvh3tiv0054/m0156.jpg?dl=0,
m0157,,"ASKEW ] , [ HANNAH STOUFFER",9/1/2015,"1825 Division Street, Detroit, MI",,,,https://www.dropbox.com/s/igxy1xi26bjzggp/m0157.jpg?dl=0,
m0158,,"YOK ] , [ SHERYO] , [ DAEK] , [ ] , [ FECKS",9/22/2015,"1936 Division Street, Detroit, MI",,,,https://www.dropbox.com/s/dcpalj6583nmcsb/m0158.jpg?dl=0,
m0159,TRIBUTE BOUQUET,OUIZI,9/1/2015,"1816 Division Street, Detroit, MI",,,,https://www.dropbox.com/s/t38pdloak2oysfh/m0159.jpg?dl=0,
m0160,,KASHINK,9/22/2015,"1948 Division Street, Detroit, MI",,,,https://www.dropbox.com/s/acxiuo6ko49ncuu/m0160.jpg?dl=0,
